Title	Year	Genre	Developer	HD / Floppy	PAL / NTSC	Model	Notes	Source	HD install notes	No. of disks (if floppy game)
Driller	1988	Adventure	Incentive	HD	PAL	A500	1992 Kixx release; non-encrypted executable, manual check bypassed, protection-free	SPS 2256	No HD installer; copied files to HD manually from the Kixx budget release. Needed to re-assign SYS: to the game directory for the save games.	
Dune	1992	Strategy	Cryo	HD	NTSC50	A500		SPS 1156	Has HD installer.	
Dungeon Master (v2.2)	1988	RPG	FTL Games	Floppy	NTSC	A500	This is supposed to be a 100% bug-free dump of the original game with the nefarious disk-based copy protection intact. If you notice any weird issues, please report it.	Emulator-only IPF file that uses the "diamond flux" trick to represent the DM copy protection (uploaded to EAB file server on 2023-01-30). Confirmed working but needs extra confirmation upon completing the game.		1
Dungeon Master (v3.60)	1988	RPG	FTL Games	Floppy	NTSC	A500	Version 3.60 with no copy protection.	SPS 0833		2
Dungeon Master 2: The Legend of Skullkeep	1995	RPG	FTL Games	HD	NTSC	A1200		SPS 0899		
Dungeon Master: Chaos Strikes Back (v3.5)	1990	RPG	FTL Games	Floppy	NTSC	A500	Read the manual carefully for the instructions on how to start the game. Save disk is in DF1:  This is supposed to be a 100% bug-free dump of the original game with the nefarious disk-based copy protection intact. If you notice any weird issues, please report it.  If the copy protection has been triggered, any of the following may happen:  - The game hangs while loading (although there might be causes other than the copy protection) - Game crashes (although there might be causes other than the copy protection) - Unable to save the game - "SYSTEM ERROR 60" message - Dungeon animation stops: doors do not open/close, thrown objects remain in the air - "THAT'S NOT THE MASTER DISK!" message displayed endlessly - Mouse clicks are completely ignored - The whole party of champions dies instantaneously. After that, the button to restart from a saved game is not present. You must reboot from scratch. - Altar of VI does not work anymore to resurrect a dead champion	Emulator-only IPF file that uses the "diamond flux" trick to represent the DM copy protection (uploaded to EAB file server on 2023-01-30). Confirmed working but needs extra confirmation upon completing the game.		2
Elite (v1.0)	1988	Strategy	Ian Bell, David Braben	Floppy	PAL	A500	v1.0 (also known as Elite Plus)	SPS 0115		1
Elite (v2.0, Space Legends)	1993	Strategy	Ian Bell, David Braben	Floppy	PAL	A500	Space Legends compilation version (v2.0, also known as Elite Plus)  Same as v2.0 but with the manual-based copy protection removed, so you cannot enter cheat codes.	SPS 1572		1
Elite (v2.0)	1988	Strategy	Ian Bell, David Braben	Floppy	PAL	A500	v2.0 (also known as Elite Plus)  Differences compared to v1.0: - Thargoids yield 40 Cr instead of 15 - Military lasers allowed on all sides - Library function - Bug fixes (e.g., you can't engage the docking computer while the hyperspace countdown is proceeding). 	SPS 0811		1
Elvira II: The Jaws of Cerberus	1992	Adventure	Horrorsoft	HD	NTSC50	A500		SPS 2242	Has HD installer.	
Elvira: Mistress of the Dark	1990	Adventure	Horrorsoft	HD	NTSC50	A500	Music replayer is very sensitive to faster than A500 CPU speeds.  To start the game, double-click on the Elvira disk icon, then on the Elvira icon.	SPS 0267	Has HD installer.	
Exile (OCS)	1991	Adventure	Audiogenic	Floppy	PAL	A500	Uses CopyLock. Entering the wrong security codes in the uncracked original will alter the game in subtle ways, making it impossible to complete.	Can't use SPS 0032 because couldn't find scans of the sides of the box that contain the security codes.  Galahad/FLT's 100% working crack is used instead that he verified himself by completing the game.  All the official re-releases approved by the Amiga port's creator, Peter J. M. Irvin, are bad cracks done by The Company.  More info here: http://www.thunderpeel2001.com/exile/		1
Eye of the Beholder (AGA)	1991	RPG	Westwood	HD	NTSC	A1200	Fan conversion that combines the 256-colours graphics of the DOS original with the superior sound of the Amiga version. It also adds the Amiga outro missing from the DOS version and an automap. The definitive version of the game; it's essentially bug-free.	Retroplay WHDLoad version	WHDLoad	
Eye of the Beholder (OCS)	1991	RPG	Westwood	HD	NTSC	A500	8x CPU speed recommended.	SPS 0116	Has HD installer.	
Eye of the Beholder II:  The Legend of Darkmoon (OCS)	1991	RPG	Westwood	HD	NTSC	A500	Needs 1MB Chip RAM. 8x CPU speed recommended.  Transferring characters  To transfer characters from the first game, copy the EOBDATA.SAV savegame file over into the game folder, then use the transfer option in the menu.	SPS 0834	Has HD installer.	
Eye of the Beholder II: The Legend of Darkmoon (AGA)	1991	RPG	Westwood	HD	NTSC	A1200	Fan conversion that combines the 256-colours graphics of the DOS original with the superior sound of the Amiga version. The definitive version of the game.  If you get corrupted graphics (the colours appear wrong), just save your game, then reload it. You might be required to restart the game before reloading. This can only occur a few times in certain later areas during a full walkthrough and it's not game breaking, only a minor inconvenience.  Transferring characters  To transfer characters from the first game, you need to perform the transfer using the ECS version (yes, you can load the AGA save files into the ECS original). Once you're done with the transfer, create a new save in the first slot. Copy the resulting EOBDATA0.SAV over to the vga-data directory of the AGA version, then load the savegame from the first slot normally.  Note the 0 at the end of the file name; that's the EoB II save file and it must be 46897 bytes long! EOBDATA.SAV (without the 0) is 33107 bytes; that's the EoB I save file you used for the transfer. If you get an error when loading the save game in EoB II AGA, you must have copied over EOBDATA.SAV by mistake.	Retroplay WHDLoad version	WHDLoad	
Faery Tale Adventure, The	1986	RPG	MicroIllusions	Floppy	NTSC	A500	Has save disk in DF1: The save disk must be in DF1: to prevent bugs. Needs only 512K Chip RAM to prevent bugs. Just press enter at the copy protection question after the intro.	Faery Tale Adventure, The (1986)(MicroIllusions)[cr_fix_v2 ross] [v2 - For EAB members!].zip by ross from the EAB file server (fixes the garbled intro music for later than A1000 models and bypasses the manual check). Confirmed to be completable.  https://eab.abime.net/showthread.php?t=34675		1
Fate: Gates of Dawn	1991	RPG	reLINE	HD	PAL	A500	Pay special attention to answer the manual-based copy protection questions correctly later in the game. Failing these checks too many times will cause the game to slowly deterioriate over the next few hours until it becomes unplayable and impossible to finish.	Uncensored English version reconstructed from these sources (the SPS images contain write errors that have been fixed in the WHDLoad packs):  SPS 2842 SPS 0544 RetroPlay WHDLoad conversions	Has HD installer.	
Fish!	1988	Adventure	Magnetic Scrolls	HD	PAL	A500	Right-click on the top of the screen and drag it down to see the illustrations.	SPS 0484	Copied files to HD as per instructions.	
Flashback	1992	Adventure	Delphine	HD	PAL	A500		SPS 1885	Copied files to HD as per instructions.	
Future Wars: Adventures in Time	1989	Adventure	Delphine	HD	NTSC50	A500	If you fail the protection check at the start, you will be asked to insert the game disk into DF0: when running from the HDD. Ignore this; reboot and try again.  Even when running from the HDD, the game only lets you save to a floppy. The saving part of this works, but the game hangs when you try to load it back. Loading works fine when running the game from floppies. The solution for the HDD install is to only use save states.	SPS 1882	Copied files to HD as per instructions.	
Gateway to the Savage Frontier	1991	RPG	SSI	HD	NTSC	A500		SPS 2160	Has HD installer.	
Gold Rush!	1989	Adventure	Sierra	Floppy	NTSC	A500	Floppy game that saves to the hard disk. When saving or restoring the game, enter Save: for the volume name, with the colon at the end (this is important).	SPS 2909		1
Guild of Thieves, The	1987	Adventure	Magnetic Scrolls	HD	PAL	A500	Needs OCS; the intro screen is corrupted on ECS Agnus. Right-click on the top of the screen and drag it down to see the illustrations.	SPS 0334	Copied files to HD as per instructions.	
Heimdall	1991	RPG	The 8th Day	Floppy	PAL	A500	Supports 3 floppy drives. Uses CopyLock.	SPS 0234		5
Heimdall 2: Into the Hall of Worlds (CD32)	1994	RPG	The 8th Day	CD	PAL	CD32	Best played with a gamepad.  In this CD32 version, you can only save in the Hall of Worlds by finding a special book. Unfortunately, this saving mechanism is buggy---it's possible to end up in a state where you're unable to revisit other worlds, preventing you from completing the game. Using save states is recommended instead (which isn't considered cheating because you can save anywhere in the OCS and AGA versions).	Non-TOSEC ISO, EU release Heimdall 2 - Into the Hall of Worlds (Europe).zip		
Hillsfar	1989	RPG	SSI	HD	NTSC	A500		SPS 0981	Copied files to HD as per instructions.	
Hollywood Poker Pro	1989	Board	reLINE	Floppy	PAL	A500	Supports a single drive only.	SPS 2205		2
Hook	1992	Adventure	Ocean	Floppy	PAL	A500	Uses CopyLock. Supports four floppy drives, no disk swapping necessary. To access the save game menu, click on the Use icon then on the floppy disk in your inventory. It's a very well coded game that uses all available memory as a cache for already loaded data to avoid disk access.	SPS 0887		4
IK+	1988	Action	System 3	Floppy	NTSC50	A500	Needs joystick. Uses CopyLock.	SPS 2063		1
Indiana Jones and the Fate of Atlantis	1992	Adventure	LucasArts	HD	NTSC	A500	8x CPU speed recommended.	SPS 0851	Has HD installer.	
Indiana Jones and the Last Crusade	1989	Adventure	LucasArts	HD	NTSC	A500	Faster than 4x CPU speed results in uneven sound and eventually the game freezing. 4x CPU speed seems fine and it helps with the animations.	SPS 1990	Copied files to HD as per instructions.	
Ishar 2: Messengers of Doom (AGA)	1993	RPG	Silmarils	HD	NTSC50	A1200		SPS 0787	Copied files to HD as per instructions.	
Ishar 3: The Seven Gates of Infinity (AGA)	1994	RPG	Silmarils	HD	NTSC50	A1200	The intro can't be skipped. Pressing Esc during the intro will hang the game.	SPS 2245	Has HD installer.	
Ishar: Legend of the Fortress (AGA)	1992	RPG	Silmarils	Floppy	NTSC50	A1200		"Unofficial" CT RAW dump from the EAB file server		2
It Came From the Desert	1989	Adventure	Cinemaware	HD	NTSC	A500		ICFTD1and2-HD [It Came From The Desert 1 & 2 merged binaries, and HD installable].lzx from the EAB file server (cracked version with the disk-check removed, can run from HDD). 	Fan-made HD installer.	
Jinxter	1987	Adventure	Magnetic Scrolls	HD	PAL	A500	Right-click on the top of the screen and drag it down to see the illustrations.	SPS 0963 (check)	Copied files to HD as per instructions.	
King's Bounty	1990	Strategy	New World Computing	HD	NTSC	A500		Abaddon's "unofficial" CT RAW dump.	Has HD installer.	
King's Quest II: Romancing the Throne	1987	Adventure	Sierra	HD	NTSC	A500	Budget re-release with no disk-based protection.	SPS 2126	No HD installer; copied files to HD manually.	
King's Quest III: To Heir is Human	1987	Adventure	Sierra	Floppy	NTSC	A500	Floppy game that saves to the hard disk. When saving or restoring the game, enter Save: for the volume name, with the colon at the end (this is important). 	SPS 1333		1
King's Quest IV: The Perils of Rosella	1990	Adventure	Sierra	HD	NTSC	A500		SPS 0822	Has HD installer.	
King's Quest VI: Heir Today, Gone Tomorrow	1994	Adventure	Revolution	HD	NTSC50	A500		SPS 1178	Has HD installer.	
King's Quest: Quest for the Crown (AGI)	1986	Adventure	Sierra	Floppy	NTSC	A500	Floppy game that saves to the hard disk. When saving or restoring the game, enter Save: for the volume name, with the colon at the end (this is important).	SPS 1333		1
King's Quest: Quest for the Crown (SCI)	1990	Adventure	Sierra	HD	NTSC	A500	To start the game, double-click on the KingsQuest1 disk icon, then on the KingsQuest1 icon. There are two more icons to set Amiga or MT-32 sound before starting the game.  Floppy game that saves to the hard disk. When saving or restoring the game, enter Save: for the volume name, with the colon at the end (this is important). 	SPS 1436	Has HD installer.	
Knightmare	1991	RPG	Mindscape	Floppy	PAL	A500	Supports 4 floppy drives. No disk swapping necessary, save disk is in DF2: Uses custom save disk format which must be formatted in-game. Uses CopyLock.	SPS 0966		2
Lancelot	1988	Adventure	Level 9	HD	PAL	A500	Use the SAVE command to save your game, just press enter at the "insert save disc" prompt, then enter save:your_save_name to save the game under your chosen name. The save games are stored in the Harddisk\Lacelot\save folder. Use RESTORE and the same process to load your savegame.	SPS 0216	Copied files to HD as per instructions.	
Legend of Faerghail	1990	RPG	Electronic Design Hannover	HD	PAL	A500	v2.0e 17.10.90 English version. All other English versions contain game-breaking bugs. Needs 512K Chip and 512K Slow RAM. After watching the intro, double-click on the LEGEND.0 icon, then on the LOF icon to start the game.	SPS 2844	Has HD installer.	
Legend of Robin Hood, The - Conquests of the Longbow	1992	Adventure	Sierra	HD	NTSC	A500		SPS 1968	Has HD installer.	
Leisure Suit Larry 2: Leisure Suit Larry Goes Looking for Love	1989	Adventure	Sierra	HD	NTSC	A500	Has no disk-based protection.	SPS 0193	No HD installer; copied files to HD manually.	
Leisure Suit Larry 3: Passionate Patti in Pursuit of the Pulsating Pectorals!	1990	Adventure	Sierra	HD	NTSC	A500		SPS 0690	Has HD installer.	
Leisure Suit Larry 1: In the Land of the Lounge Lizards (AGI)	1987	Adventure	Sierra	Floppy	NTSC	A500	Enter at least 18 at the age prompt, then press Alt+X at the first age verification question to bypass the checks.  Floppy game that saves to the hard disk. When saving or restoring the game, enter Save: for the volume name, with the colon at the end (this is important).	SPS 0349		1
Lemmings	1991	Puzzle	DMA Design	Floppy	PAL	A500	Supports 2 floppy drives. Uses CopyLock.	SPS 0132		2
Liberation: Captive II (CD32)	1993	RPG	Byte Engineers	CD	PAL	CD32	Best version with CD Audio music, voice acting, and better graphics than the later OCS/AGA release.	TOSEC-ISO Liberation - Captive II v2.02-2.00c (1994-04-08)(Mindscape)[!][CDD3716].zip 		
Loom	1990	Adventure	LucasArts	HD	NTSC	A500	Faster than 2x CPU speed results in slightly garbled music.	SPS 0618	Copied files to HD as per instructions.	
Lord of the Rings, The - Vol. 1	1991	RPG	Interplay	HD	NTSC	A500	Had to delete the file "three.id" from the installation folder, otherwise the game keeps crashing at startup. The file contained this text: "Present on 720k version only."	SPS 1299	Has HD installer.	
Lords of Chaos	1991	Strategy	Mythos	Floppy	PAL	A500	The original LORDS OF CHAOS game features the first 3 scenarios: - Scenario One: The Many Coloured Land - Scenario Two: Slayer's Dungeon - Scenario Three: Ragaril's Domain  Expansion disk features 2 additional scenarios: - Scenario Four: Islands of Iris - Scenario Five: Tombs of the Undead  LORDS OF CHAOS: 'ESCAPE FROM ZOL', an exclusively designed scenario, appeared on Zero Coverdisk 14 (Issue 21, Aug 91) - - - Loading Expansion Kit One: Load the main program as usual and then put the expansion kit in the disk drive. If the main program disk, or a saved games and wizards disk, is in the disk drive then remove that disk and put the expansion kit in the disk drive instead. Select the 'Load Scenario' option and type 4 to load scenario four, or type 5 to load scenario five. - - - Please also be aware that in Level 4 "Islands Of Iris", the treasure maps in the Commodore Amiga version were graphically corrupted (shown below) which was a fault even when running on an actual Commodore Amiga. --- If you press Esc in the Load Scenario menu, the game crashes. Just press Enter to exit the menu.	SPS 1568 Lords Of Chaos Expansion Kit One & Escape from Zol from here: https://amigalordsofchaos.tripod.com/		1 (plus 2 scenario disks)
Lords of the Rising Sun	1989	Strategy	Cinemaware	HD	NTSC	A500	Needs the first floppy present in any drive when run from the HD. Uses CopyLock.	SPS 1779	Has HD installer.	
Lost Treasures of Infocom, The	198x	Adventure	Infocom	HD	NTSC	A500	Contains all 34 Amiga Infocom releases (the 20 games included in the The Lost Treasures of Incofom collection, plus the rests except for Border Zone which never got an Amiga release). All games save to the hard disk. Wishbringer crashes on quit, but otherwise seems to work fine.  To start a game:  - Double-click on the Infocom disk icon - Double-click on one of the category drawers - Double-click on the game’s name - Then finally double-click on the game’s start icon   Make sure to check out the interactive InvisiClues in the Extras folder if you're stuck!	Official SPS images Lost Treasures of Infocom, The (SPS 0928) Arthur - The Quest for Excalibur (SPS 1401) Bureaucracy (SPS 1493) Cutthroats (SPS 2683) Hollywood Hijinx (SPS 1492) James Clavell's Shogun (SPS 1257) Journey - The Quest Begins (SPS 0499) Nord and Bert Couldn't Make Head or Tail of It (SPS 1406) Seastalker (SPS 2684) Trinity (SPS 2541) Wishbringer (SPS 2543)  CT RAW / IPF images from the EAB file server Leather Goddesses of Phobos (1986)(Infocom)(US)[Amiga].zip Plundered Hearts_WD-IR1_Infocom[AMIGA]_IPF.7z Sherlock - The Riddle of The Crown Jewels_WD-CS1-04_Infocom[AMIGA]_IPF.7z	Copied files to HD as per instructions.	
